State,Data Centers
Texas,392
North Dakota,23
Virginia,568
New York,133
Washington,107
Kentucky,36
California,288
Missouri,74
Georgia,201
Minnesota,74
Michigan,70
Arizona,155
Illinois,206
Pennsylvania,103
Florida,107
Nebraska,36
Kansas,21
Maryland,39
Ohio,194
Connecticut,52
Tennessee,61
New Jersey,69
Louisiana,22
Wyoming,21
South Carolina,33
Massachusetts,46
District of Columbia,6
Maine,8
North Carolina,93
Iowa,95
Indiana,76
Colorado,56
Nevada,68
Idaho,17
Wisconsin,50
Oregon,121
Utah,41
Alabama,23
Oklahoma,37
New Mexico,21
Arkansas,11
Montana,25
Mississippi,11
Hawaii,9
Delaware,18
West Virginia,8
New Hampshire,10
Alaska,8
Rhode Island,7
Vermont,3
South Dakota,5
