Provider,Data Center Name,Address
Amazon AWS,"PDX4 Boardman, OR","79539 Rippee Road, Boardman, OR 97818, USA"
Microsoft Azure,Des Moines Data Center,"550 White Crane Rd, West Des Moines, IA 50265, USA"
Flexential,Denver - Englewood Data Center,"8636 South Peoria Street, Englewood, CO, USA"
Google,"Mayes County, OK Data Center",4111 North East 1st Street
Microsoft Azure,East US-Virginia,"101 Herbert Drive, Boydton, VA, USA"
Amazon AWS,IAD23 Ashburn,"43830 Devin Shafron Dr, Ashburn, VA 20147, USA"
Microsoft Azure,West US 2-Washington,"1515 Port Industrial Way, Quincy, WA, USA"
Microsoft Azure,South Central US-Texas,"5150 Rogers Rd, San Antonio, TX, USA"
Microsoft Azure,North Central US-Illinois,"601 Northwest Avenue, Northlake, IL, USA"
"Meta, Inc.",Newton (Atlanta) Data Center,"240 Shire Parkway, Social Circle, GA, USA"
Amazon AWS,13600 EDS Drive,"13600 EDS Drive, Herndon, VA, USA"
Google,"Montgomery County, TN Data Center","1000 Boolean Dr, Clarksville, TN 37040, USA"
Amazon AWS,Dublin OH,"5895 Houchard Road, Dublin, OH, USA"
Voxility,DC2 Ashburn Data Center,"21715 Filigree Court, Ashburn, VA, USA"
Apple Inc.,Maiden Data Center,"5977 Startown Road, Newton, NC, USA"
Google,"The Dalles, OR Data Center","4200 Columbia Rd, The Dalles, OR 97058, USA"
Flexential,Dallas - Richardson Data Center,"3010 Waterview Pkwy, Richardson, TX 75080, USA"
Amazon AWS,5113 Hayden Run,"5113 Hayden Run Rd, Hilliard, OH 43026, USA"
Equinix,NY4 Secaucus Data Center,"755 Secaucus Road, Secaucus, NJ, USA"
Amazon AWS,New Albany OH,"2570 Beech Road Northwest, Johnstown, OH, USA"
Google,"Douglas County, GA Data Center","300 Riverside Parkway, Lithia Springs, GA, USA"
Apple Inc.,Mesa Data Center,"3740 South Signal Butte Road, Mesa, AZ, USA"
Google,"Midlothian, TX Data Center","3800 Railport Pkwy, Midlothian, TX, USA"
Amazon AWS,7400 Potranco Rd,"7400 Potranco Rd, San Antonio, TX 78251, USA"
365 Data Centers,TX1 Richardson Data Center,"1001 East Campbell Road, Richardson, TX, USA"
